Designator,Mid X,Mid Y,Rotation,Layer
0-C1,56.0,-14.25,0.0,top
0-C2,36.5,-19.0,270.0,top
0-C3,45.0,-16.2,0.0,top
0-C4,47.25,-19.7,270.0,top
0-C5,49.0,-13.5,180.0,top
0-C6,42.0,-16.5,90.0,top
0-C7,45.0,-12.5,180.0,top
0-D2,24.0,-19.0,180.0,top
0-D3,51.0,-19.75,270.0,top
0-D4,45.0,-14.25,0.0,top
0-D5,49.0,-19.75,90.0,top
0-L1,58.0,-19.5,180.0,top
0-L2,49.0,-10.75,180.0,top
0-Q1,57.25,-10.75,270.0,top
0-R1,36.5,-14.275,90.0,top
0-R10,61.0,-19.5,270.0,top
0-R11,58.5,-15.25,90.0,top
0-R2,42.0,-19.675,90.0,top
0-R3,52.8,-16.0,180.0,top
0-R4,52.8,-14.25,0.0,top
0-R5,37.0,-10.0,90.0,top
0-R6,56.0,-16.0,180.0,top
0-R7,43.75,-19.7,90.0,top
0-R8,45.5,-19.7,90.0,top
0-R9,42.0,-13.5,90.0,top
0-SW1,24.0,-14.5,270.0,top
0-U1,53.0,-10.75,90.0,top
0-U2,39.25,-19.0,90.0,top
0-U3,49.0,-16.25,180.0,top
0-U4,44.75,-10.0,0.0,top
0-U5,40.1375,-10.0,0.0,top
0-U6,54.15,-19.2625,270.0,top
0-U7,39.25,-14.2,270.0,top
1-C1,124.25,-14.25,0.0,top
1-C2,104.75,-19.0,270.0,top
1-C3,113.25,-16.2,0.0,top
1-C4,115.5,-19.7,270.0,top
1-C5,117.25,-13.5,180.0,top
1-C6,110.25,-16.5,90.0,top
1-C7,113.25,-12.5,180.0,top
1-D2,92.25,-19.0,180.0,top
1-D3,119.25,-19.75,270.0,top
1-D4,113.25,-14.25,0.0,top
1-D5,117.25,-19.75,90.0,top
1-L1,126.25,-19.5,180.0,top
1-L2,117.25,-10.75,180.0,top
1-Q1,125.5,-10.75,270.0,top
1-R1,104.75,-14.275,90.0,top
1-R10,129.25,-19.5,270.0,top
1-R11,126.75,-15.25,90.0,top
1-R2,110.25,-19.675,90.0,top
1-R3,121.05,-16.0,180.0,top
1-R4,121.05,-14.25,0.0,top
1-R5,105.25,-10.0,90.0,top
1-R6,124.25,-16.0,180.0,top
1-R7,112.0,-19.7,90.0,top
1-R8,113.75,-19.7,90.0,top
1-R9,110.25,-13.5,90.0,top
1-SW1,92.25,-14.5,270.0,top
1-U1,121.25,-10.75,90.0,top
1-U2,107.5,-19.0,90.0,top
1-U3,117.25,-16.25,180.0,top
1-U4,113.0,-10.0,0.0,top
1-U5,108.3875,-10.0,0.0,top
1-U6,122.4,-19.2625,270.0,top
1-U7,107.5,-14.2,270.0,top
10-C1,56.0,-109.25,0.0,top
10-C2,36.5,-114.0,270.0,top
10-C3,45.0,-111.2,0.0,top
10-C4,47.25,-114.7,270.0,top
10-C5,49.0,-108.5,180.0,top
