Designator,Footprint,Quantity,Value,LCSC Part #
"0-C1, 0-C6, 0-C7, 1-C1, 1-C6, 1-C7, 2-C1, 2-C6, 2-C7, 3-C1, 3-C6, 3-C7",0603,12,100n,C14663
"0-C2, 1-C2, 2-C2, 3-C2",0603,4,1u,C15849
"0-C3, 1-C3, 2-C3, 3-C3",0603,4,10u,C96446
"0-C4, 1-C4, 2-C4, 3-C4",0603,4,150p,C1594
"0-C5, 1-C5, 2-C5, 3-C5",0603,4,2u2,C23630
"0-D2, 1-D2, 2-D2, 3-D2",0603,4,LED,C2286
"0-D3, 0-D4, 0-D5, 1-D3, 1-D4, 1-D5, 2-D3, 2-D4, 2-D5, 3-D3, 3-D4, 3-D5",D_SOD-323,12,D_Schottky,C191023
"0-L1, 1-L1, 2-L1, 3-L1",L_3x3,4,47uH,C370426
"0-L2, 1-L2, 2-L2, 3-L2",L_3x3,4,10uH,C45403
"0-Q1, 1-Q1, 2-Q1, 3-Q1",SOT-23-6,4,FS8205A,C2830320
"0-R1, 0-R3, 1-R1, 1-R3, 2-R1, 2-R3, 3-R1, 3-R3",0603,8,1k,C21190
"0-R10, 1-R10, 2-R10, 3-R10",0603,4,1,C22936
"0-R11, 1-R11, 2-R11, 3-R11",0603,4,330m,C2934252
"0-R2, 1-R2, 2-R2, 3-R2",0603,4,5k6,C23189
"0-R4, 1-R4, 2-R4, 3-R4",0603,4,100,C22775
"0-R5, 1-R5, 2-R5, 3-R5",0603,4,10k	,C25804
"0-R6, 1-R6, 2-R6, 3-R6",0603,4,680m,C5126049
"0-R7, 1-R7, 2-R7, 3-R7",0603,4,13K,C22797
"0-R8, 1-R8, 2-R8, 3-R8",0603,4,150k,C22807
"0-R9, 1-R9, 2-R9, 3-R9",0603,4,10k,C25804
"0-SW1, 1-SW1, 2-SW1, 3-SW1",SW_Push_1P1T_XKB_TS-1187A,4,SW_Push,C318886
"0-U1, 1-U1, 2-U1, 3-U1",SOT-23-6,4,DW01A,C2927799
"0-U2, 1-U2, 2-U2, 3-U2",SOT-23-5,4,LTC4054ES5-4.2,C478383
"0-U3, 1-U3, 2-U3, 3-U3",SOT-23-5,4,LM27313XMF,C341750
"0-U4, 1-U4, 2-U4, 3-U4",SOT-23-6,4,74LVC2G14,C5375976
"0-U5, 1-U5, 2-U5, 3-U5",SOT-23-6,4,74LVC1G175,C128412
"0-U6, 1-U6, 2-U6, 3-U6",TSOT-23-5,4,AL8860WT,C125330
"0-U7, 1-U7, 2-U7, 3-U7",SOT-23-5,4,74LVC1G02,C16360
"KIKIT_FID_B_1, KIKIT_FID_B_2, KIKIT_FID_B_3, KIKIT_FID_B_4, KIKIT_FID_T_1, KIKIT_FID_T_2, KIKIT_FID_T_3, KIKIT_FID_T_4",Fiducial,8,Fiducial
