Designator,Mid X,Mid Y,Rotation,Layer
0-C1,57.375,-14.25,0.0,top
0-C2,37.875,-19.0,270.0,top
0-C3,46.375,-16.2,0.0,top
0-C4,48.625,-19.7,270.0,top
0-C5,50.375,-13.5,180.0,top
0-C6,43.375,-16.5,90.0,top
0-C7,46.375,-12.5,180.0,top
0-D2,25.375,-19.0,180.0,top
0-D3,52.375,-19.75,270.0,top
0-D4,46.375,-14.25,0.0,top
0-D5,50.375,-19.75,90.0,top
0-L1,59.375,-19.5,180.0,top
0-L2,50.375,-10.75,180.0,top
0-Q1,58.625,-10.75,270.0,top
0-R1,37.875,-14.275,90.0,top
0-R10,62.375,-19.5,270.0,top
0-R11,59.875,-15.25,90.0,top
0-R2,43.375,-19.675,90.0,top
0-R3,54.175,-16.0,180.0,top
0-R4,54.175,-14.25,0.0,top
0-R5,38.375,-10.0,90.0,top
0-R6,57.375,-16.0,180.0,top
0-R7,45.125,-19.7,90.0,top
0-R8,46.875,-19.7,90.0,top
0-R9,43.375,-13.5,90.0,top
0-SW1,25.375,-14.5,270.0,top
0-U1,54.375,-10.75,90.0,top
0-U2,40.625,-19.0,90.0,top
0-U3,50.375,-16.25,180.0,top
0-U4,46.125,-10.0,0.0,top
0-U5,41.5125,-10.0,0.0,top
0-U6,55.525,-19.2625,270.0,top
0-U7,40.625,-14.2,270.0,top
1-C1,57.375,-31.75,0.0,top
1-C2,37.875,-36.5,270.0,top
1-C3,46.375,-33.7,0.0,top
1-C4,48.625,-37.2,270.0,top
1-C5,50.375,-31.0,180.0,top
1-C6,43.375,-34.0,90.0,top
1-C7,46.375,-30.0,180.0,top
1-D2,25.375,-36.5,180.0,top
1-D3,52.375,-37.25,270.0,top
1-D4,46.375,-31.75,0.0,top
1-D5,50.375,-37.25,90.0,top
1-L1,59.375,-37.0,180.0,top
1-L2,50.375,-28.25,180.0,top
1-Q1,58.625,-28.25,270.0,top
1-R1,37.875,-31.775,90.0,top
1-R10,62.375,-37.0,270.0,top
1-R11,59.875,-32.75,90.0,top
1-R2,43.375,-37.175,90.0,top
1-R3,54.175,-33.5,180.0,top
1-R4,54.175,-31.75,0.0,top
1-R5,38.375,-27.5,90.0,top
1-R6,57.375,-33.5,180.0,top
1-R7,45.125,-37.2,90.0,top
1-R8,46.875,-37.2,90.0,top
1-R9,43.375,-31.0,90.0,top
1-SW1,25.375,-32.0,270.0,top
1-U1,54.375,-28.25,90.0,top
1-U2,40.625,-36.5,90.0,top
1-U3,50.375,-33.75,180.0,top
1-U4,46.125,-27.5,0.0,top
1-U5,41.5125,-27.5,0.0,top
1-U6,55.525,-36.7625,270.0,top
1-U7,40.625,-31.7,270.0,top
2-C1,57.375,-56.75,0.0,top
2-C2,37.875,-61.5,270.0,top
2-C3,46.375,-58.7,0.0,top
2-C4,48.625,-62.2,270.0,top
2-C5,50.375,-56.0,180.0,top
2-C6,43.375,-59.0,90.0,top
2-C7,46.375,-55.0,180.0,top
2-D2,25.375,-61.5,180.0,top
2-D3,52.375,-62.25,270.0,top
2-D4,46.375,-56.75,0.0,top
2-D5,50.375,-62.25,90.0,top
2-L1,59.375,-62.0,180.0,top
2-L2,50.375,-53.25,180.0,top
2-Q1,58.625,-53.25,270.0,top
2-R1,37.875,-56.775,90.0,top
2-R10,62.375,-62.0,270.0,top
2-R11,59.875,-57.75,90.0,top
2-R2,43.375,-62.175,90.0,top
2-R3,54.175,-58.5,180.0,top
2-R4,54.175,-56.75,0.0,top
2-R5,38.375,-52.5,90.0,top
2-R6,57.375,-58.5,180.0,top
2-R7,45.125,-62.2,90.0,top
2-R8,46.875,-62.2,90.0,top
2-R9,43.375,-56.0,90.0,top
2-SW1,25.375,-57.0,270.0,top
2-U1,54.375,-53.25,90.0,top
2-U2,40.625,-61.5,90.0,top
2-U3,50.375,-58.75,180.0,top
2-U4,46.125,-52.5,0.0,top
2-U5,41.5125,-52.5,0.0,top
2-U6,55.525,-61.7625,270.0,top
2-U7,40.625,-56.7,270.0,top
3-C1,57.375,-74.25,0.0,top
3-C2,37.875,-79.0,270.0,top
3-C3,46.375,-76.2,0.0,top
3-C4,48.625,-79.7,270.0,top
3-C5,50.375,-73.5,180.0,top
3-C6,43.375,-76.5,90.0,top
3-C7,46.375,-72.5,180.0,top
3-D2,25.375,-79.0,180.0,top
3-D3,52.375,-79.75,270.0,top
3-D4,46.375,-74.25,0.0,top
3-D5,50.375,-79.75,90.0,top
3-L1,59.375,-79.5,180.0,top
3-L2,50.375,-70.75,180.0,top
3-Q1,58.625,-70.75,270.0,top
3-R1,37.875,-74.275,90.0,top
3-R10,62.375,-79.5,270.0,top
3-R11,59.875,-75.25,90.0,top
3-R2,43.375,-79.675,90.0,top
3-R3,54.175,-76.0,180.0,top
3-R4,54.175,-74.25,0.0,top
3-R5,38.375,-70.0,90.0,top
3-R6,57.375,-76.0,180.0,top
3-R7,45.125,-79.7,90.0,top
3-R8,46.875,-79.7,90.0,top
3-R9,43.375,-73.5,90.0,top
3-SW1,25.375,-74.5,270.0,top
3-U1,54.375,-70.75,90.0,top
3-U2,40.625,-79.0,90.0,top
3-U3,50.375,-76.25,180.0,top
3-U4,46.125,-70.0,0.0,top
3-U5,41.5125,-70.0,0.0,top
3-U6,55.525,-79.2625,270.0,top
3-U7,40.625,-74.2,270.0,top
KIKIT_FID_B_1,4.5,-4.5,180.0,bottom
KIKIT_FID_B_2,70.5,-4.5,180.0,bottom
KIKIT_FID_B_3,4.5,-84.5,180.0,bottom
KIKIT_FID_B_4,70.5,-84.5,180.0,bottom
KIKIT_FID_T_1,4.5,-4.5,0.0,top
KIKIT_FID_T_2,70.5,-4.5,0.0,top
KIKIT_FID_T_3,4.5,-84.5,0.0,top
KIKIT_FID_T_4,70.5,-84.5,0.0,top
