Designator,Mid X,Mid Y,Rotation,Layer
0-C1,57.375,-14.25,0.0,top
0-C2,37.875,-19.0,270.0,top
0-C3,46.375,-16.2,0.0,top
0-C4,48.625,-19.7,270.0,top
0-C5,50.375,-13.5,180.0,top
0-C6,43.375,-16.5,90.0,top
0-C7,46.375,-12.5,180.0,top
0-D2,25.375,-19.0,180.0,top
0-D3,52.375,-19.75,270.0,top
0-D4,46.375,-14.25,0.0,top
0-D5,50.375,-19.75,90.0,top
0-L1,59.375,-19.5,180.0,top
0-L2,50.375,-10.75,180.0,top
0-Q1,58.625,-10.75,270.0,top
0-R1,37.875,-14.275,90.0,top
0-R10,62.375,-19.5,270.0,top
0-R11,59.875,-15.25,90.0,top
0-R2,43.375,-19.675,90.0,top
0-R3,54.175,-16.0,180.0,top
0-R4,54.175,-14.25,0.0,top
0-R5,38.375,-10.0,90.0,top
0-R6,57.375,-16.0,180.0,top
0-R7,45.125,-19.7,90.0,top
0-R8,46.875,-19.7,90.0,top
0-R9,43.375,-13.5,90.0,top
0-SW1,25.375,-14.5,270.0,top
0-U1,54.375,-10.75,90.0,top
0-U2,40.625,-19.0,90.0,top
0-U3,50.375,-16.25,180.0,top
0-U4,46.125,-10.0,0.0,top
0-U5,41.5125,-10.0,0.0,top
0-U6,55.525,-19.2625,270.0,top
0-U7,40.625,-14.2,270.0,top
1-C1,57.375,-32.25,0.0,top
1-C2,37.875,-37.0,270.0,top
1-C3,46.375,-34.2,0.0,top
1-C4,48.625,-37.7,270.0,top
1-C5,50.375,-31.5,180.0,top
1-C6,43.375,-34.5,90.0,top
1-C7,46.375,-30.5,180.0,top
1-D2,25.375,-37.0,180.0,top
1-D3,52.375,-37.75,270.0,top
1-D4,46.375,-32.25,0.0,top
1-D5,50.375,-37.75,90.0,top
1-L1,59.375,-37.5,180.0,top
1-L2,50.375,-28.75,180.0,top
1-Q1,58.625,-28.75,270.0,top
1-R1,37.875,-32.275,90.0,top
1-R10,62.375,-37.5,270.0,top
1-R11,59.875,-33.25,90.0,top
1-R2,43.375,-37.675,90.0,top
1-R3,54.175,-34.0,180.0,top
1-R4,54.175,-32.25,0.0,top
1-R5,38.375,-28.0,90.0,top
1-R6,57.375,-34.0,180.0,top
1-R7,45.125,-37.7,90.0,top
1-R8,46.875,-37.7,90.0,top
1-R9,43.375,-31.5,90.0,top
1-SW1,25.375,-32.5,270.0,top
1-U1,54.375,-28.75,90.0,top
1-U2,40.625,-37.0,90.0,top
1-U3,50.375,-34.25,180.0,top
1-U4,46.125,-28.0,0.0,top
1-U5,41.5125,-28.0,0.0,top
1-U6,55.525,-37.2625,270.0,top
1-U7,40.625,-32.2,270.0,top
2-C1,57.375,-58.25,0.0,top
2-C2,37.875,-63.0,270.0,top
2-C3,46.375,-60.2,0.0,top
2-C4,48.625,-63.7,270.0,top
2-C5,50.375,-57.5,180.0,top
2-C6,43.375,-60.5,90.0,top
2-C7,46.375,-56.5,180.0,top
2-D2,25.375,-63.0,180.0,top
2-D3,52.375,-63.75,270.0,top
2-D4,46.375,-58.25,0.0,top
2-D5,50.375,-63.75,90.0,top
2-L1,59.375,-63.5,180.0,top
2-L2,50.375,-54.75,180.0,top
2-Q1,58.625,-54.75,270.0,top
2-R1,37.875,-58.275,90.0,top
2-R10,62.375,-63.5,270.0,top
2-R11,59.875,-59.25,90.0,top
2-R2,43.375,-63.675,90.0,top
2-R3,54.175,-60.0,180.0,top
2-R4,54.175,-58.25,0.0,top
2-R5,38.375,-54.0,90.0,top
2-R6,57.375,-60.0,180.0,top
2-R7,45.125,-63.7,90.0,top
2-R8,46.875,-63.7,90.0,top
2-R9,43.375,-57.5,90.0,top
2-SW1,25.375,-58.5,270.0,top
2-U1,54.375,-54.75,90.0,top
2-U2,40.625,-63.0,90.0,top
2-U3,50.375,-60.25,180.0,top
2-U4,46.125,-54.0,0.0,top
2-U5,41.5125,-54.0,0.0,top
2-U6,55.525,-63.2625,270.0,top
2-U7,40.625,-58.2,270.0,top
3-C1,57.375,-76.25,0.0,top
3-C2,37.875,-81.0,270.0,top
3-C3,46.375,-78.2,0.0,top
3-C4,48.625,-81.7,270.0,top
3-C5,50.375,-75.5,180.0,top
3-C6,43.375,-78.5,90.0,top
3-C7,46.375,-74.5,180.0,top
3-D2,25.375,-81.0,180.0,top
3-D3,52.375,-81.75,270.0,top
3-D4,46.375,-76.25,0.0,top
3-D5,50.375,-81.75,90.0,top
3-L1,59.375,-81.5,180.0,top
3-L2,50.375,-72.75,180.0,top
3-Q1,58.625,-72.75,270.0,top
3-R1,37.875,-76.275,90.0,top
3-R10,62.375,-81.5,270.0,top
3-R11,59.875,-77.25,90.0,top
3-R2,43.375,-81.675,90.0,top
3-R3,54.175,-78.0,180.0,top
3-R4,54.175,-76.25,0.0,top
3-R5,38.375,-72.0,90.0,top
3-R6,57.375,-78.0,180.0,top
3-R7,45.125,-81.7,90.0,top
3-R8,46.875,-81.7,90.0,top
3-R9,43.375,-75.5,90.0,top
3-SW1,25.375,-76.5,270.0,top
3-U1,54.375,-72.75,90.0,top
3-U2,40.625,-81.0,90.0,top
3-U3,50.375,-78.25,180.0,top
3-U4,46.125,-72.0,0.0,top
3-U5,41.5125,-72.0,0.0,top
3-U6,55.525,-81.2625,270.0,top
3-U7,40.625,-76.2,270.0,top
